time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-06 00:00:00+00:00,3,2,4,3
2026-03-07 00:00:00+00:00,3,2,10,3
2026-03-08 00:00:00+00:00,4,3,5,1
2026-03-09 00:00:00+00:00,0,0,23,5
2026-03-10 00:00:00+00:00,4,3,21,5
2026-03-11 00:00:00+00:00,11,8,61,4
2026-03-12 00:00:00+00:00,29,8,35,2
2026-03-13 00:00:00+00:00,23,7,28,1
2026-03-14 00:00:00+00:00,18,12,24,4
2026-03-15 00:00:00+00:00,6,5,6,1
2026-03-16 00:00:00+00:00,4,4,37,3
2026-03-17 00:00:00+00:00,9,6,37,2
2026-03-18 00:00:00+00:00,0,0,9,1
2026-03-19 00:00:00+00:00,0,0,2,1
