time_iso8601,stars_cumulative
2023-09-23 00:00:00+00:00,1
2023-10-31 00:00:00+00:00,2
2023-11-06 00:00:00+00:00,3
2023-11-08 00:00:00+00:00,4
2023-11-15 00:00:00+00:00,5
2023-11-26 00:00:00+00:00,6
2024-03-12 00:00:00+00:00,7
2024-06-19 00:00:00+00:00,8
2024-07-23 00:00:00+00:00,9
2024-08-20 00:00:00+00:00,10
2024-08-24 00:00:00+00:00,11
2024-09-07 00:00:00+00:00,12
2024-11-05 00:00:00+00:00,13
2024-11-08 00:00:00+00:00,14
2024-12-19 00:00:00+00:00,15
2025-02-19 00:00:00+00:00,16
2025-03-14 00:00:00+00:00,17
2025-04-23 00:00:00+00:00,18
2025-04-27 00:00:00+00:00,19
2025-05-23 00:00:00+00:00,20
2025-06-21 00:00:00+00:00,21
2025-07-18 00:00:00+00:00,22
2025-07-31 00:00:00+00:00,23
