time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-03 00:00:00+00:00,2,2,27,10
2026-03-04 00:00:00+00:00,2,2,10,7
2026-03-05 00:00:00+00:00,8,4,2,2
2026-03-06 00:00:00+00:00,2,2,4,2
2026-03-07 00:00:00+00:00,0,0,1,1
2026-03-08 00:00:00+00:00,0,0,6,3
2026-03-09 00:00:00+00:00,2,2,7,5
2026-03-10 00:00:00+00:00,1,1,5,3
2026-03-11 00:00:00+00:00,0,0,2,2
2026-03-12 00:00:00+00:00,0,0,4,3
2026-03-13 00:00:00+00:00,0,0,3,2
2026-03-14 00:00:00+00:00,1,1,1,1
2026-03-15 00:00:00+00:00,0,0,1,1
2026-03-16 00:00:00+00:00,3,2,1,1
