time_iso8601,stars_cumulative
2024-08-15 00:00:00+00:00,1
2024-08-29 00:00:00+00:00,2
2024-09-07 00:00:00+00:00,3
2024-09-29 00:00:00+00:00,5
2024-11-04 00:00:00+00:00,6
2024-11-13 00:00:00+00:00,7
2024-11-14 00:00:00+00:00,9
2024-11-23 00:00:00+00:00,10
2024-12-05 00:00:00+00:00,11
2024-12-09 00:00:00+00:00,12
2024-12-18 00:00:00+00:00,13
2024-12-27 00:00:00+00:00,15
2025-01-06 00:00:00+00:00,16
2025-01-11 00:00:00+00:00,17
2025-01-31 00:00:00+00:00,18
2025-02-14 00:00:00+00:00,19
2025-02-26 00:00:00+00:00,20
2025-04-01 00:00:00+00:00,21
2025-05-30 00:00:00+00:00,22
2025-06-19 00:00:00+00:00,23
2025-07-05 00:00:00+00:00,24
2025-07-22 00:00:00+00:00,25
2025-08-07 00:00:00+00:00,26
2025-10-24 00:00:00+00:00,27
2025-10-31 00:00:00+00:00,28
2025-11-11 00:00:00+00:00,29
2025-11-13 00:00:00+00:00,30
2025-12-20 00:00:00+00:00,31
2026-01-08 00:00:00+00:00,32
2026-01-09 00:00:00+00:00,33
2026-01-15 00:00:00+00:00,34
2026-03-10 00:00:00+00:00,35
2026-04-08 00:00:00+00:00,36
2026-05-26 00:00:00+00:00,37
2026-06-05 00:00:00+00:00,38
